"iso3","anio","valor_en_twh"
"FIN","1993","0.0"
"FIN","1994","0.0"
"FIN","1995","0.0"
"FIN","1996","0.0"
"FIN","1997","0.0"
"FIN","1998","0.0"
"FIN","1999","0.0"
"FIN","2000","0.0"
"FIN","2001","0.0"
"FIN","2002","0.0"
"FIN","2003","0.0"
"FIN","2004","0.0"
"FIN","2005","0.0"
"FIN","2006","0.0"
"FIN","2007","0.4330306"
"FIN","2008","0.9916351"
"FIN","2009","2.6928995"
"FIN","2010","3.5050526"
"FIN","2011","2.416091"
"FIN","2012","3.0660772"
"FIN","2013","3.8445332"
"FIN","2014","4.2955194"
"FIN","2015","5.149225"
"FIN","2016","1.368601"
"FIN","2017","3.6970763"
"FIN","2018","3.483499"
"FIN","2019","4.3599553"
"FIN","2020","4.12426"
"FIN","2021","4.5714164"
"FIN","2022","4.583335"
"FRA","1992","0.026248911"
"FRA","1993","0.29237822"
"FRA","1994","0.9494267"
"FRA","1995","1.8613816"
"FRA","1996","2.6785522"
"FRA","1997","3.2066004"
"FRA","1998","2.9976673"
"FRA","1999","3.1512532"
"FRA","2000","3.7758658"
"FRA","2001","3.766899"
"FRA","2002","4.034773"
"FRA","2003","4.430088"
"FRA","2004","4.643859"
"FRA","2005","7.5016994"
"FRA","2006","7.8661137"
"FRA","2007","13.113837"
"FRA","2008","24.178934"
"FRA","2009","27.055717"
"FRA","2010","26.374876"
"FRA","2011","26.244074"
"FRA","2012","30.628036"
"FRA","2013","28.553373"
"FRA","2014","28.88099"
"FRA","2015","30.707294"
"FRA","2016","28.094324"
"FRA","2017","27.349377"
"FRA","2018","31.011723"
"FRA","2019","28.762793"
"FRA","2020","26.882748"
"FRA","2021","22.463299"
"FRA","2022","21.680595"
"DEU","1992","0.051672094"
"DEU","1993","0.051672094"
"DEU","1994","0.28933117"
"DEU","1995","0.36166975"
"DEU","1996","0.5683349"
"DEU","1997","0.93000466"
"DEU","1998","1.0333371"
"DEU","1999","1.3433348"
"DEU","2000","2.5833373"
"DEU","2001","3.6166627"
"DEU","2002","5.683337"
"DEU","2003","6.912907"
"DEU","2004","10.579199"
"DEU","2005","16.176365"
"DEU","2006","26.602173"
"DEU","2007","33.02326"
"DEU","2008","29.390697"
"DEU","2009","29.409876"
"DEU","2010","36.44826"
"DEU","2011","35.813656"
"DEU","2012","33.560238"
"DEU","2013","35.74399"
"DEU","2014","39.94682"
"DEU","2015","36.8279"
"DEU","2016","37.24675"
"DEU","2017","38.017647"
"DEU","2018","39.059742"
"DEU","2019","40.795673"
"DEU","2020","39.174717"
"DEU","2021","40.72917"
"DEU","2022","38.26378"
"IND","2000","0.99766845"
"IND","2001","1.0292509"
"IND","2002","1.0978676"
"IND","2003","1.1321759"
"IND","2004","0.22170524"
"IND","2005","0.91569704"
"IND","2006","0.8263303"
"IND","2007","1.1078416"
"IND","2008","1.7061034"
"IND","2009","1.306545"
"IND","2010","2.1186633"
"IND","2011","3.0859628"
"IND","2012","2.9523408"
"IND","2013","2.8032336"
"IND","2014","3.0561519"
"IND","2015","6.0190334"
"IND","2016","7.342049"
"IND","2017","6.7121634"
"IND","2018","11.499807"
"IND","2019","12.9695425"
"IND","2020","14.326985"
"IND","2021","21.628881"
"IND","2022","26.92458"
"IDN","2005","0.10277779"
"IDN","2006","0.5138889"
"IDN","2007","2.525499"
"IDN","2008","5.1463327"
"IDN","2009","1.749109"
"IDN","2010","2.2396321"
"IDN","2011","16.585947"
"IDN","2012","20.319769"
"IDN","2013","25.659634"
"IDN","2014","36.324234"
"IDN","2015","14.81855"
"IDN","2016","33.429016"
"IDN","2017","31.234552"
"IDN","2018","56.39775"
"IDN","2019","76.797134"
"IDN","2020","78.586044"
"IDN","2021","93.6305"
"IDN","2022","108.223694"
"ITA","1992","0.0"
"ITA","1993","0.0"
"ITA","1994","0.0"
"ITA","1995","0.0"
"ITA","1996","0.0"
"ITA","1997","0.0"
"ITA","1998","0.0"
"ITA","1999","0.0"
"ITA","2000","0.0"
"ITA","2001","0.0"
"ITA","2002","0.0"
"ITA","2003","0.0"
"ITA","2004","2.9394476"
"ITA","2005","2.055556"
"ITA","2006","2.2919476"
"ITA","2007","2.0761063"
"ITA","2008","7.2792873"
"ITA","2009","8.685807"
"ITA","2010","9.046454"
"ITA","2011","6.8204136"
"ITA","2012","3.6217334"
"ITA","2013","5.3124213"
"ITA","2014","5.963248"
"ITA","2015","6.031551"
"ITA","2016","6.093992"
"ITA","2017","7.3116417"
"ITA","2018","7.8877335"
"ITA","2019","9.075994"
"ITA","2020","10.746551"
"ITA","2021","12.830601"
"ITA","2022","11.609047"
"MEX","2007","0.0"
"MEX","2008","0.0"
"MEX","2009","0.0"
"MEX","2010","0.0"
"MEX","2011","0.0"
"MEX","2012","0.0"
"MEX","2013","0.0"
"MEX","2014","0.0"
"MEX","2015","0.0"
"MEX","2016","0.1182428"
"MEX","2017","0.17736419"
"MEX","2018","0.295607"
"MEX","2019","0.295607"
