"iso3","anio","valor_en_twh"
"ARM","2009","2.29"
"ARM","2010","2.29"
"ARM","2011","2.36"
"ARM","2012","2.12"
"ARM","2013","2.17"
"ARM","2014","2.27"
"ARM","2015","2.57"
"ARM","2016","2.19"
"ARM","2017","2.41"
"ARM","2018","1.9"
"ARM","2019","2.03"
"ARM","2020","2.55"
"ARM","2021","1.85"
"ABW","2000","0.0"
"ABW","2001","0.0"
"ABW","2002","0.0"
"ABW","2003","0.0"
"ABW","2004","0.0"
"ABW","2005","0.0"
"ABW","2006","0.0"
"ABW","2007","0.0"
"ABW","2008","0.0"
"ABW","2009","0.0"
"ABW","2010","0.0"
"ABW","2011","0.0"
"ABW","2012","0.0"
"ABW","2013","0.0"
"ABW","2014","0.0"
"ABW","2015","0.0"
"ABW","2016","0.0"
"ABW","2017","0.0"
"ABW","2018","0.0"
"ABW","2019","0.0"
"ABW","2020","0.0"
"ABW","2021","0.0"
"AUS","2000","0.0"
"AUS","2001","0.0"
"AUS","2002","0.0"
"AUS","2003","0.0"
"AUS","2004","0.0"
"AUS","2005","0.0"
"AUS","2006","0.0"
"AUS","2007","0.0"
"AUS","2008","0.0"
"AUS","2009","0.0"
"AUS","2010","0.0"
"AUS","2011","0.0"
"AUS","2012","0.0"
"AUS","2013","0.0"
"AUS","2014","0.0"
"AUS","2015","0.0"
"AUS","2016","0.0"
"AUS","2017","0.0"
"AUS","2018","0.0"
"AUS","2019","0.0"
"AUS","2020","0.0"
"AUS","2021","0.0"
"AUS","2022","0.0"
"AUT","1965","0.0"
"AUT","1966","0.0"
"AUT","1967","0.0"
"AUT","1968","0.0"
"AUT","1969","0.0"
"AUT","1970","0.0"
"AUT","1971","0.0"
"AUT","1972","0.0"
"AUT","1973","0.0"
"AUT","1974","0.0"
"AUT","1975","0.0"
"AUT","1976","0.0"
"AUT","1977","0.0"
"AUT","1978","0.0"
"AUT","1979","0.0"
"AUT","1980","0.0"
"AUT","1981","0.0"
"AUT","1982","0.0"
"AUT","1983","0.0"
"AUT","1984","0.0"
"AUT","1985","0.0"
"AUT","1986","0.0"
"AUT","1987","0.0"
"AUT","1988","0.0"
"AUT","1989","0.0"
"AUT","1990","0.0"
"AUT","1991","0.0"
"AUT","1992","0.0"
"AUT","1993","0.0"
"AUT","1994","0.0"
"AUT","1995","0.0"
"AUT","1996","0.0"
"AUT","1997","0.0"
"AUT","1998","0.0"
"AUT","1999","0.0"
"AUT","2000","0.0"
"AUT","2001","0.0"
"AUT","2002","0.0"
"AUT","2003","0.0"
"AUT","2004","0.0"
"AUT","2005","0.0"
"AUT","2006","0.0"
"AUT","2007","0.0"
"AUT","2008","0.0"
"AUT","2009","0.0"
"AUT","2010","0.0"
"AUT","2011","0.0"
"AUT","2012","0.0"
"AUT","2013","0.0"
"AUT","2014","0.0"
"AUT","2015","0.0"
"AUT","2016","0.0"
"AUT","2017","0.0"
"AUT","2018","0.0"
"AUT","2019","0.0"
"AUT","2020","0.0"
"AUT","2021","0.0"
"AUT","2022","0.0"
"AZE","1985","0.0"
"AZE","1986","0.0"
"AZE","1987","0.0"
"AZE","1988","0.0"
"AZE","1989","0.0"
"AZE","1990","0.0"
"AZE","1991","0.0"
"AZE","1992","0.0"
"AZE","1993","0.0"
"AZE","1994","0.0"
"AZE","1995","0.0"
"AZE","1996","0.0"
"AZE","1997","0.0"
"AZE","1998","0.0"
"AZE","1999","0.0"
"AZE","2000","0.0"
"AZE","2001","0.0"
"AZE","2002","0.0"
"AZE","2003","0.0"
"AZE","2004","0.0"
"AZE","2005","0.0"
"AZE","2006","0.0"
"AZE","2007","0.0"
"AZE","2008","0.0"
"AZE","2009","0.0"
"AZE","2010","0.0"
"AZE","2011","0.0"
"AZE","2012","0.0"
"AZE","2013","0.0"
"AZE","2014","0.0"
"AZE","2015","0.0"
"AZE","2016","0.0"
"AZE","2017","0.0"
"AZE","2018","0.0"
"AZE","2019","0.0"
"AZE","2020","0.0"
"AZE","2021","0.0"
"BHS","2000","0.0"
"BHS","2001","0.0"
"BHS","2002","0.0"
"BHS","2003","0.0"
"BHS","2004","0.0"
"BHS","2005","0.0"
"BHS","2006","0.0"
"BHS","2007","0.0"
"BHS","2008","0.0"
"BHS","2009","0.0"
"BHS","2010","0.0"
"BHS","2011","0.0"
"BHS","2012","0.0"
"BHS","2013","0.0"
"BHS","2014","0.0"
"BHS","2015","0.0"
"BHS","2016","0.0"
"BHS","2017","0.0"
"BHS","2018","0.0"
"BHS","2019","0.0"
"BHS","2020","0.0"
"BHS","2021","0.0"
"BHR","2000","0.0"
"BHR","2001","0.0"
"BHR","2002","0.0"
"BHR","2003","0.0"
"BHR","2004","0.0"
"BHR","2005","0.0"
"BHR","2006","0.0"
"BHR","2007","0.0"
"BHR","2008","0.0"
"BHR","2009","0.0"
"BHR","2010","0.0"
"BHR","2011","0.0"
"BHR","2012","0.0"
"BHR","2013","0.0"
"BHR","2014","0.0"
"BHR","2015","0.0"
"BHR","2016","0.0"
"BHR","2017","0.0"
"BHR","2018","0.0"
"BHR","2019","0.0"
"BHR","2020","0.0"
"BHR","2021","0.0"
"BGD","1972","0.0"
"BGD","1973","0.0"
"BGD","1974","0.0"
"BGD","1975","0.0"
"BGD","1976","0.0"
"BGD","1977","0.0"
"BGD","1978","0.0"
"BGD","1979","0.0"
"BGD","1980","0.0"
"BGD","1981","0.0"
"BGD","1982","0.0"
"BGD","1983","0.0"
"BGD","1984","0.0"
"BGD","1985","0.0"
"BGD","1986","0.0"
"BGD","1987","0.0"
"BGD","1988","0.0"
"BGD","1989","0.0"
"BGD","1990","0.0"
"BGD","1991","0.0"
"BGD","1992","0.0"
"BGD","1993","0.0"
"BGD","1994","0.0"
"BGD","1995","0.0"
"BGD","1996","0.0"
"BGD","1997","0.0"
"BGD","1998","0.0"
"BGD","1999","0.0"
"BGD","2000","0.0"
"BGD","2001","0.0"
"BGD","2002","0.0"
"BGD","2003","0.0"
"BGD","2004","0.0"
"BGD","2005","0.0"
"BGD","2006","0.0"
"BGD","2007","0.0"
"BGD","2008","0.0"
"BGD","2009","0.0"
"BGD","2010","0.0"
"BGD","2011","0.0"
"BGD","2012","0.0"
"BGD","2013","0.0"
"BGD","2014","0.0"
"BGD","2015","0.0"
"BGD","2016","0.0"
"BGD","2017","0.0"
"BGD","2018","0.0"
"BGD","2019","0.0"
"BGD","2020","0.0"
"BGD","2021","0.0"
"BGD","2022","0.0"
"BRB","2000","0.0"
"BRB","2001","0.0"
"BRB","2002","0.0"
"BRB","2003","0.0"
"BRB","2004","0.0"
"BRB","2005","0.0"
"BRB","2006","0.0"
"BRB","2007","0.0"
"BRB","2008","0.0"
"BRB","2009","0.0"
"BRB","2010","0.0"
"BRB","2011","0.0"
"BRB","2012","0.0"
"BRB","2013","0.0"
"BRB","2014","0.0"
"BRB","2015","0.0"
"BRB","2016","0.0"
"BRB","2017","0.0"
"BRB","2018","0.0"
"BRB","2019","0.0"
"BRB","2020","0.0"
"BRB","2021","0.0"
"BLR","1985","0.0"
"BLR","1986","0.0"
"BLR","1987","0.0"
"BLR","1988","0.0"
"BLR","1989","0.0"
"BLR","1990","0.0"
"BLR","1991","0.0"
"BLR","1992","0.0"
"BLR","1993","0.0"
"BLR","1994","0.0"
"BLR","1995","0.0"
"BLR","1996","0.0"
"BLR","1997","0.0"
"BLR","1998","0.0"
"BLR","1999","0.0"
"BLR","2000","0.0"
"BLR","2001","0.0"
"BLR","2002","0.0"
"BLR","2003","0.0"
"BLR","2004","0.0"
"BLR","2005","0.0"
"BLR","2006","0.0"
"BLR","2007","0.0"
"BLR","2008","0.0"
"BLR","2009","0.0"
"BLR","2010","0.0"
"BLR","2011","0.0"
"BLR","2012","0.0"
"BLR","2013","0.0"
"BLR","2014","0.0"
"BLR","2015","0.0"
"BLR","2016","0.0"
"BLR","2017","0.0"
"BLR","2018","0.0"
"BLR","2019","0.0"
"BLR","2020","0.34"
"BLR","2021","5.78"
"BLR","2022","4.69"
"BEL","1965","0.0"
"BEL","1966","0.006"
"BEL","1967","0.094"
"BEL","1968","0.061"
"BEL","1969","0.022"
"BEL","1970","0.057"
"BEL","1971","0.0"
"BEL","1972","0.011"
"BEL","1973","0.076"
"BEL","1974","0.148"
"BEL","1975","6.784"
"BEL","1976","10.036"
"BEL","1977","11.939"
"BEL","1978","12.513"
"BEL","1979","11.407"
"BEL","1980","12.549"
"BEL","1981","12.859"
"BEL","1982","15.664"
"BEL","1983","24.106"
"BEL","1984","27.743"
"BEL","1985","34.601"
"BEL","1986","39.394"
"BEL","1987","41.967"
"BEL","1988","43.102"
"BEL","1989","41.217"
"BEL","1990","42.72"
"BEL","1991","42.86"
"BEL","1992","43.46"
"BEL","1993","41.93"
"BEL","1994","40.62"
"BEL","1995","41.36"
"BEL","1996","43.34"
"BEL","1997","47.41"
"BEL","1998","46.17"
"BEL","1999","49.02"
"BEL","2000","48.16"
"BEL","2001","46.35"
"BEL","2002","47.36"
"BEL","2003","47.38"
"BEL","2004","47.31"
"BEL","2005","47.6"
"BEL","2006","46.65"
"BEL","2007","48.23"
"BEL","2008","45.57"
"BEL","2009","47.22"
"BEL","2010","47.94"
"BEL","2011","48.23"
"BEL","2012","40.29"
"BEL","2013","42.64"
"BEL","2014","33.7"
"BEL","2015","26.1"
"BEL","2016","43.52"
"BEL","2017","42.23"
"BEL","2018","28.6"
"BEL","2019","43.52"
"BEL","2020","34.43"
"BEL","2021","50.33"
"BEL","2022","44.13"
"BLZ","2000","0.0"
"BLZ","2001","0.0"
"BLZ","2002","0.0"
"BLZ","2003","0.0"
"BLZ","2004","0.0"
"BLZ","2005","0.0"
"BLZ","2006","0.0"
"BLZ","2007","0.0"
"BLZ","2008","0.0"
"BLZ","2009","0.0"
"BLZ","2010","0.0"
"BLZ","2011","0.0"
"BLZ","2012","0.0"
"BLZ","2013","0.0"
"BLZ","2014","0.0"
"BLZ","2015","0.0"
"BLZ","2016","0.0"
"BLZ","2017","0.0"
"BLZ","2018","0.0"
"BLZ","2019","0.0"
"BLZ","2020","0.0"
"BLZ","2021","0.0"
"BEN","2000","0.0"
"BEN","2001","0.0"
"BEN","2002","0.0"
"BEN","2003","0.0"
"BEN","2004","0.0"
"BEN","2005","0.0"
"BEN","2006","0.0"
"BEN","2007","0.0"
"BEN","2008","0.0"
"BEN","2009","0.0"
"BEN","2010","0.0"
"BEN","2011","0.0"
"BEN","2012","0.0"
"BEN","2013","0.0"
"BEN","2014","0.0"
"BEN","2015","0.0"
"BEN","2016","0.0"
"BEN","2017","0.0"
"BEN","2018","0.0"
"BEN","2019","0.0"
"BEN","2020","0.0"
"BEN","2021","0.0"
"BMU","2000","0.0"
"BMU","2001","0.0"
"BMU","2002","0.0"
"BMU","2003","0.0"
"BMU","2004","0.0"
"BMU","2005","0.0"
"BMU","2006","0.0"
"BMU","2007","0.0"
"BMU","2008","0.0"
"BMU","2009","0.0"
"BMU","2010","0.0"
"BMU","2011","0.0"
"BMU","2012","0.0"
"BMU","2013","0.0"
"BMU","2014","0.0"
"BMU","2015","0.0"
"BMU","2016","0.0"
"BMU","2017","0.0"
"BMU","2018","0.0"
"BMU","2019","0.0"
"BMU","2020","0.0"
"BMU","2021","0.0"
"BTN","2000","0.0"
"BTN","2001","0.0"
"BTN","2002","0.0"
"BTN","2003","0.0"
"BTN","2004","0.0"
"BTN","2005","0.0"
"BTN","2006","0.0"
"BTN","2007","0.0"
"BTN","2008","0.0"
"BTN","2009","0.0"
"BTN","2010","0.0"
"BTN","2011","0.0"
"BTN","2012","0.0"
"BTN","2013","0.0"
"BTN","2014","0.0"
"BTN","2015","0.0"
"BTN","2016","0.0"
"BTN","2017","0.0"
"BTN","2018","0.0"
"BTN","2019","0.0"
"BTN","2020","0.0"
"BTN","2021","0.0"
"BOL","2000","0.0"
"BOL","2001","0.0"
"BOL","2002","0.0"
"BOL","2003","0.0"
"BOL","2004","0.0"
"BOL","2005","0.0"
"BOL","2006","0.0"
"BOL","2007","0.0"
"BOL","2008","0.0"
"BOL","2009","0.0"
"BOL","2010","0.0"
"BOL","2011","0.0"
"BOL","2012","0.0"
"BOL","2013","0.0"
"BOL","2014","0.0"
"BOL","2015","0.0"
"BOL","2016","0.0"
"BOL","2017","0.0"
"BOL","2018","0.0"
"BOL","2019","0.0"
"BOL","2020","0.0"
"BOL","2021","0.0"
"BOL","2022","0.0"
"BIH","2000","0.0"
"BIH","2001","0.0"
"BIH","2002","0.0"
"BIH","2003","0.0"
"BIH","2004","0.0"
"BIH","2005","0.0"
"BIH","2006","0.0"
"BIH","2007","0.0"
"BIH","2008","0.0"
"BIH","2009","0.0"
"BIH","2010","0.0"
"BIH","2011","0.0"
"BIH","2012","0.0"
"BIH","2013","0.0"
"BIH","2014","0.0"
"BIH","2015","0.0"
"BIH","2016","0.0"
"BIH","2017","0.0"
"BIH","2018","0.0"
"BIH","2019","0.0"
"BIH","2020","0.0"
"BIH","2021","0.0"
"BIH","2022","0.0"
"BWA","2000","0.0"
"BWA","2001","0.0"
"BWA","2002","0.0"
"BWA","2003","0.0"
"BWA","2004","0.0"
"BWA","2005","0.0"
"BWA","2006","0.0"
"BWA","2007","0.0"
"BWA","2008","0.0"
"BWA","2009","0.0"
"BWA","2010","0.0"
"BWA","2011","0.0"
"BWA","2012","0.0"
"BWA","2013","0.0"
"BWA","2014","0.0"
"BWA","2015","0.0"
"BWA","2016","0.0"
"BWA","2017","0.0"
"BWA","2018","0.0"
"BWA","2019","0.0"
"BWA","2020","0.0"
"BWA","2021","0.0"
"BRA","1965","0.0"
"BRA","1966","0.0"
"BRA","1967","0.0"
"BRA","1968","0.0"
"BRA","1969","0.0"
"BRA","1970","0.0"
"BRA","1971","0.0"
"BRA","1972","0.0"
"BRA","1973","0.0"
"BRA","1974","0.0"
"BRA","1975","0.0"
"BRA","1976","0.0"
"BRA","1977","0.0"
"BRA","1978","0.0"
"BRA","1979","0.0"
"BRA","1980","0.0"
"BRA","1981","0.0"
"BRA","1982","0.0"
"BRA","1983","0.0"
"BRA","1984","1.643"
"BRA","1985","3.381"
"BRA","1986","0.144"
"BRA","1987","0.973"
"BRA","1988","0.608"
"BRA","1989","1.83"
"BRA","1990","2.237"
"BRA","1991","1.442"
"BRA","1992","1.759"
"BRA","1993","0.442"
"BRA","1994","0.055"
"BRA","1995","2.519"
"BRA","1996","2.427"
"BRA","1997","3.169"
"BRA","1998","3.265"
"BRA","1999","3.977"
"BRA","2000","4.94"
"BRA","2001","14.27"
"BRA","2002","13.84"
"BRA","2003","13.4"
"BRA","2004","11.6"
"BRA","2005","9.2"
"BRA","2006","12.98"
"BRA","2007","11.65"
"BRA","2008","13.21"
"BRA","2009","12.22"
"BRA","2010","13.77"
"BRA","2011","14.8"
"BRA","2012","15.17"
"BRA","2013","14.65"
"BRA","2014","14.46"
"BRA","2015","13.91"
"BRA","2016","14.97"
"BRA","2017","14.86"
"BRA","2018","14.79"
"BRA","2019","15.16"
"BRA","2020","13.21"
"BRA","2021","14.7"
"BRA","2022","14.54"
"VGB","2000","0.0"
"VGB","2001","0.0"
"VGB","2002","0.0"
"VGB","2003","0.0"
"VGB","2004","0.0"
"VGB","2005","0.0"
"VGB","2006","0.0"
"VGB","2007","0.0"
"VGB","2008","0.0"
"VGB","2009","0.0"
"VGB","2010","0.0"
"VGB","2011","0.0"
"VGB","2012","0.0"
"VGB","2013","0.0"
"VGB","2014","0.0"
"VGB","2015","0.0"
"VGB","2016","0.0"
"VGB","2017","0.0"
"VGB","2018","0.0"
"VGB","2019","0.0"
