"anio","tipo_energia","valor_en_twh","porcentaje"
"1920","Otras renovables","0.0","0.0"
"1920","Petróleo","889.0","4.917911872"
"1920","Solar","0.0","0.0"
"1920","Total","18076.77777","100.0"
"1930","Biocombustibles","0.0","0.0"
"1930","Biomasa tradicional ","7222.0","35.984255"
"1930","Carbón","10125.0","50.44870976"
"1930","Eólica","0.0","0.0"
"1930","Gas natural","603.0","3.004500937"
"1930","Hidro","363.8889","1.813108691"
"1930","Nuclear","0.0","0.0"
"1930","Otras renovables","0.0","0.0"
"1930","Petróleo","1756.0","8.749425613"
"1930","Solar","0.0","0.0"
"1930","Total","20069.8889","100.0"
"1940","Biocombustibles","0.0","0.0"
"1940","Biomasa tradicional ","7222.0","31.5794077"
"1940","Carbón","11586.0","50.66173048"
"1940","Eólica","0.0","0.0"
"1940","Gas natural","875.0","3.826084427"
"1940","Hidro","533.3333","2.33208941"
"1940","Nuclear","0.0","0.0"
"1940","Otras renovables","0.0","0.0"
"1940","Petróleo","2653.0","11.60068798"
"1940","Solar","0.0","0.0"
"1940","Total","22869.3333","100.0"
"1950","Biocombustibles","0.0","0.0"
"1950","Biomasa tradicional ","7500.0","26.25682677"
"1950","Carbón","12603.0","44.12197171"
"1950","Eólica","0.0","0.0"
"1950","Gas natural","2092.0","7.323904215"
"1950","Hidro","925.0","3.238341969"
"1950","Nuclear","0.0","0.0"
"1950","Otras renovables","0.0","0.0"
"1950","Petróleo","5444.0","19.05895533"
"1950","Solar","0.0","0.0"
"1950","Total","28564.0","100.0"
"1960","Biocombustibles","0.0","0.0"
"1960","Biomasa tradicional ","8889.0","21.25848667"
"1960","Carbón","15442.0","36.93031288"
"1960","Eólica","0.0","0.0"
"1960","Gas natural","4472.0","10.69501096"
"1960","Hidro","1913.8889","4.577160724"
"1960","Nuclear","0.0","0.0"
"1960","Otras renovables","0.0","0.0"
"1960","Petróleo","11097.0","26.53902876"
"1960","Solar","0.0","0.0"
"1960","Total","41813.8889","100.0"
"1965","Biocombustibles","9.029861","0.017209612"
"1965","Biomasa tradicional ","9162.0","17.46144995"
"1965","Carbón","16140.178","30.76085029"
"1965","Eólica","0.0","0.0"
"1965","Gas natural","6303.8267","12.01418407"
"1965","Hidro","2729.8865","5.202769754"
"1965","Nuclear","72.469345","0.138116114"
"1965","Otras renovables","55.949085","0.106630883"
"1965","Petróleo","17996.53","34.29878933"
"1965","Solar","0.0","0.0"
"1965","Total","52469.86949","100.0"
"1966","Biocombustibles","9.209844","0.016793609"
"1966","Biomasa tradicional ","9218.0","16.8084814"
"1966","Carbón","16324.094","29.76602629"
"1966","Eólica","0.0","0.0"
"1966","Gas natural","6868.8228","12.5248948"
"1966","Hidro","2909.136","5.304638571"
"1966","Nuclear","97.70497","0.178159272"
"1966","Otras renovables","61.737606","0.112574897"
"1966","Petróleo","19352.656","35.28843116"
"1966","Solar","0.0","0.0"
"1966","Total","54841.36122","100.0"
"1967","Biocombustibles","9.383716","0.016574538"
"1967","Biomasa tradicional ","9274.0","16.38074591"
"1967","Carbón","16060.81","28.36834675"
"1967","Eólica","0.0","0.0"
"1967","Gas natural","7374.067","13.02487793"
"1967","Hidro","2973.9692","5.252947361"
"1967","Nuclear","116.35517","0.205519137"
"1967","Otras renovables","62.35338","0.110135311"
"1967","Petróleo","20744.31","36.64085306"
"1967","Solar","0.0","0.0"
"1967","Total","56615.24847","100.0"
"1968","Biocombustibles","9.5538","0.016047532"
"1968","Biomasa tradicional ","9331.0","15.67329451"
"1968","Carbón","16301.146","27.38105907"
"1968","Eólica","0.0","0.0"
"1968","Gas natural","8044.3594","13.51212239"
"1968","Hidro","3132.3052","5.261337682"
"1968","Nuclear","147.87189","0.248380633"
"1968","Otras renovables","69.03191","0.115953001"
"1968","Petróleo","22499.12","37.79180517"
"1968","Solar","0.0","0.0"
"1968","Total","59534.3882","100.0"
"1969","Biocombustibles","9.723981","0.015445354"
"1969","Biomasa tradicional ","9387.0","14.91010087"
"1969","Carbón","16798.734","26.68273341"
"1969","Eólica","0.0","0.0"
"1969","Gas natural","8833.446","14.03084808"
"1969","Hidro","3316.9805","5.268617647"
"1969","Nuclear","175.31134","0.278460612"
"1969","Otras renovables","72.558716","0.115250642"
"1969","Petróleo","24363.566","38.69854338"
"1969","Solar","0.0","0.0"
"1969","Total","62957.32054","100.0"
"1970","Biocombustibles","13.501494","0.020324736"
"1970","Biomasa tradicional ","9444.0","14.21670881"
"1970","Carbón","17058.607","25.67950533"
"1970","Eólica","0.0","0.0"
"1970","Gas natural","9614.819","14.47385451"
"1970","Hidro","3473.4265","5.228790037"
"1970","Nuclear","223.80801","0.336913734"
"1970","Otras renovables","80.33795","0.120938293"
"1970","Petróleo","26520.377","39.92296455"
"1970","Solar","0.0","0.0"
"1970","Total","66428.87695","100.0"
"1971","Biocombustibles","13.562146","0.019706632"
"1971","Biomasa tradicional ","9499.0","13.80263103"
"1971","Carbón","16965.777","24.6523171"
"1971","Eólica","0.0","0.0"
"1971","Gas natural","10293.2","14.95665246"
"1971","Hidro","3628.942","5.273075847"
"1971","Nuclear","311.28723","0.452319484"
"1971","Otras renovables","87.339066","0.126909033"
"1971","Petróleo","28021.105","40.71638841"
"1971","Solar","0.0","0.0"
"1971","Total","68820.21244","100.0"
"1972","Biocombustibles","14.82311","0.020572872"
"1972","Biomasa tradicional ","9553.0","13.25852978"
"1972","Carbón","17158.637","23.81433054"
"1972","Eólica","0.0","0.0"
"1972","Gas natural","10861.724","15.07489701"
"1972","Hidro","3798.634","5.272092748"
"1972","Nuclear","431.79926","0.599290626"
"1972","Otras renovables","93.40202","0.129631892"
"1972","Petróleo","30139.71","41.83065452"
"1972","Solar","0.0","0.0"
"1972","Total","72051.72939","100.0"
"1973","Biocombustibles","14.250557","0.018810047"
"1973","Biomasa tradicional ","9608.0","12.68209599"
"1973","Carbón","17667.85","23.32070874"
"1973","Eólica","0.0","0.0"
"1973","Gas natural","11377.838","15.01819668"
"1973","Hidro","3852.995","5.085767323"
"1973","Nuclear","578.5737","0.763689342"
"1973","Otras renovables","100.24631","0.132320288"
"1973","Petróleo","32560.594","42.97841159"
"1973","Solar","0.0","0.0"
"1973","Total","75760.34757","100.0"
"1974","Biocombustibles","14.334716","0.018803193"
"1974","Biomasa tradicional ","9663.0","12.67519008"
"1974","Carbón","17682.05","23.19397131"
"1974","Eólica","0.0","0.0"
"1974","Gas natural","11659.864","15.29452473"
"1974","Hidro","4232.1367","5.551395749"
"1974","Nuclear","756.48175","0.992295351"
"1974","Otras renovables","106.87296","0.140187838"
"1974","Petróleo","32120.803","42.13363175"
"1974","Solar","0.0","0.0"
"1974","Total","76235.54313","100.0"
"1975","Biocombustibles","13.688392","0.017868839"
"1975","Biomasa tradicional ","9718.0","12.68588586"
"1975","Carbón","18024.537","23.52924666"
"1975","Eólica","0.0","0.0"
"1975","Gas natural","11659.741","15.22063629"
"1975","Hidro","4284.3325","5.592771462"
"1975","Nuclear","1049.4497","1.369952573"
"1975","Otras renovables","108.1472","0.141175451"
"1975","Petróleo","31746.924","41.44246287"
"1975","Solar","0.0","0.0"
"1975","Total","76604.81979","100.0"
"1976","Biocombustibles","13.751189","0.017140067"
"1976","Biomasa tradicional ","9774.0","12.1827294"
